Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
24b,"Today we covered human factors in patient safety and how cognitive errors lead to medication mistakes. I learned the difference between slips (such as grabbing the wrong medication off the shelf), lapses (forgetting a step in the dispensing process), and mistakes (making the wrong decision because of faulty reasoning), and how fatigue, interruptions, and high workload make all three more likely. We also discussed how systems should include forcing functions and redundancies to catch these errors before they reach patients. This topic matters because medication errors are a major contributor to patient harm, and pharmacists play a central role in preventing them. Understanding the types of human error helps us respond better when they occur. At my internship, I will pay closer attention to the conditions that put me at higher risk for cognitive errors, such as working through lunch or being interrupted mid-verification, and when I am interrupted during a verification I will restart that task from the beginning rather than picking up where I left off. I will also ask my preceptor what forcing functions are built into our dispensing workflow so I understand which backup catches I am actually relying on.",2,1,2,5
24c,"Today we discussed how people can make mistakes and why cognitive errors happen in pharmacy. We learned about slips, lapses, and mistakes, and how workload and interruptions can contribute to errors. Patient safety is important in healthcare. I will remember this material in the future.",2,0,0,2
25a,"Today's class introduced James Reason's Swiss Cheese Model as the foundational systems-thinking framework for patient safety. I learned that the model represents an organization's defenses as successive slices of cheese, each with holes (latent and active failures), and that a harm event occurs only when the holes momentarily align. The key insight is that no single slice (prescriber, pharmacist, nurse, technology) can be relied on to stop every error; instead, safety comes from layering imperfect defenses so that the holes rarely line up. We also reviewed Reason's distinction between active failures (unsafe acts at the sharp end — e.g., grabbing the wrong vial) and latent conditions (organizational decisions whose consequences lie dormant — understaffing, ambiguous policies, poor lighting). The class emphasized that addressing only active failures (""the technician was distracted"") leaves the latent conditions that produced the distraction unchanged.

This shifted my mental model of safety in an important way. I had been instinctively treating individual errors as individual problems, especially in stories about medication errors that named the person involved. The Swiss Cheese Model reframes the same event as a system that allowed the error to reach the patient — and reframes the goal of safety work as adding or repairing defensive layers, not punishing individuals at the sharp end.

I will apply this in my rotations by (1) committing, when I encounter a near miss, to ask ""what other defenses should have caught this?"" before asking ""who made the mistake?""; (2) asking my preceptor to share one institutional RCA with me and explicitly map the Swiss Cheese layers and their holes; and (3) carrying the model into my own dispensing practice — I will think of my verification step as one slice of cheese among many, not the last line of defense, so I am realistic about the system around me.",2,2,2,6
25b,"Today we learned about the Swiss Cheese Model of patient safety. The idea is that errors get through when the holes in different layers of defense line up. The model distinguishes between active failures and latent conditions. This is important because it shows that errors are usually system problems, not just individual mistakes. I will think about systems and not just individuals when I encounter errors at my rotations.",2,1,1,4
25c,The Swiss Cheese Model is about how errors happen. There are holes in the system. This is part of patient safety.,1,0,0,1
26a,"This session covered ""speak-up culture"" and TeamSTEPPS as concrete tools for addressing one of the most stubborn problems in patient safety — the failure of team members to voice safety concerns to a more senior or more confident colleague. I learned the TeamSTEPPS techniques specifically designed to lower the cost of speaking up: CUS (""I'm Concerned, I'm Uncomfortable, this is a Safety issue""), the two-challenge rule (if your concern is dismissed once, you must voice it a second time before deferring), and DESC scripts for delivering structured feedback after a critical event. We also reviewed data showing that even experienced clinicians frequently fail to speak up when they see a senior colleague about to make an error — and that the gap is not knowledge or motivation but the absence of pre-rehearsed language to use under pressure.

This mattered to me personally because, as a student about to enter rotations where I will frequently be the most junior person in the room, I had been vaguely worried about ""how to push back"" without a concrete script. CUS and the two-challenge rule give me both permission and language. The class also made clear that an institution's speak-up culture is not built by training students alone — it requires senior clinicians to respond well when they are challenged, which I will now be alert to during rotations.

I plan to apply this by (1) memorizing the CUS script verbatim so I can use it under pressure rather than having to invent language in the moment; (2) asking my preceptor whether the institution has formal TeamSTEPPS training and if I can attend a session; and (3) when I observe a senior clinician respond well to a challenge from a junior team member, deliberately noting what they did so I can model that behavior when I am the senior person someday.",2,2,2,6
26b,"Today's session covered speak-up culture and TeamSTEPPS tools that help team members raise safety concerns. We learned about CUS (""I am concerned, I am uncomfortable, it's a safety issue"") and the two-challenge rule for raising a concern more than once. This is important because team communication is a big part of patient safety. I will try to speak up when I see something unsafe at my rotation.",2,1,1,4
26c,We talked about speaking up when there is a safety problem. There are tools for this. I will speak up if I need to.,1,1,0,2
27a,"Today's class focused on disclosure and apology after a harmful medical error — the practice of telling patients and families honestly what happened, why it happened, what the institution will do about it, and expressing genuine regret. I learned that the evidence-based components of effective disclosure are (1) timeliness (within 24–48 hours of identification), (2) involvement of the clinician most directly involved alongside an institutional representative, (3) clear factual description without speculation, (4) explicit apology, and (5) follow-up communication as the investigation progresses. We also reviewed the malpractice data — programs like the University of Michigan disclosure program have shown that early honest disclosure paradoxically reduces litigation, total claims costs, and time to resolution, in addition to its ethical importance.

What this learning shifted for me was the assumption that disclosure and legal self-protection are inevitably in tension. The data suggest the opposite. The ethical case for disclosure is straightforward; what surprised me was that the institutional case is also strong. I also realized that disclosure is a skill that requires practice — saying ""I'm sorry"" at the right moment in the right way is not innate, and clinicians who are not trained tend to under-disclose, speculate, or apologize defensively.

I will apply this by (1) asking my preceptor if the institution has a disclosure protocol and whether I can review one redacted disclosure summary to study the language and structure; (2) practicing a brief disclosure script with my preceptor in a low-stakes simulated scenario before I am ever in a real one; and (3) committing, if I am ever directly involved in an error that reaches a patient during my career, to participate in the disclosure rather than allow the institution to handle it alone — that is part of what I owe the patient.",2,2,2,6
27b,"Today we discussed disclosure of medical errors to patients and families. The key elements are being timely, factual, and offering an apology. We learned that early honest disclosure can actually reduce litigation. This is important because patients deserve to know what happened. I think disclosure is the right thing to do.",2,2,0,4
27c,"When errors happen, you have to tell the patient. This is the right thing to do. I think this is important.",1,0,0,1
28a,"This session contextualized everything we have learned in the patient safety course by walking through the Institute of Medicine's 1999 report ""To Err Is Human"" and the field-defining shift it produced. I learned that the report estimated 44,000–98,000 preventable deaths per year in U.S. hospitals from medical errors and reframed safety as an emergent property of healthcare systems rather than the result of individual diligence. We reviewed the report's main recommendations — establish a national focus on safety, identify and learn from errors through reporting systems, raise standards through oversight bodies, and implement safety systems at the point of care — and tracked which have made progress (e.g., CMS-mandated reporting, accreditation standards) and which remain unfinished (e.g., interoperable error reporting, consistent disclosure practices).

This learning mattered because it gave me a coherent intellectual frame for the rest of the course. Without the IOM report's premise — that errors are produced by systems, not bad apples — none of the specific tools we have studied (RCA, Just Culture, Swiss Cheese, FMEA) make sense. It also clarified for me why patient safety is sometimes politically contested even within healthcare: ""systems thinking"" is sometimes resisted as deflecting responsibility from individuals, and being aware of that history will help me communicate about safety work more thoughtfully on rotations.

I will apply this by (1) reading the original IOM report in full before my first inpatient rotation; (2) committing, when I encounter resistance to systems-based safety thinking on rotation, to explain the underlying premise calmly rather than assume bad faith; and (3) using ""To Err Is Human"" as my internal frame whenever I am tempted to attribute a near miss to a single individual — first asking what about the system made the error possible.",2,2,2,6
28b,"Today's class covered ""To Err Is Human,"" the IOM report from 1999 that established patient safety as a national issue. The report estimated tens of thousands of deaths per year from preventable errors and recommended treating safety as a system property. This is important because it changed how healthcare thinks about errors. I will keep this in mind during my rotations.",2,1,1,4
28c,There was a famous report about patient safety. It said many people die from errors. Patient safety is important.,1,0,0,1
29a,"Today's class covered sentinel events as defined by The Joint Commission and the formal Root Cause Analysis (RCA) process triggered by them. I learned that a sentinel event is a patient safety event resulting in death, permanent harm, or severe temporary harm — and that TJC requires accredited organizations to conduct a formal RCA within 45 days, with a corrective action plan that includes accountable owners and outcome measures. We reviewed the most-reported sentinel events: wrong-site surgery, retained foreign objects, medication errors causing harm, falls with serious injury, and patient suicide. The class emphasized that the 45-day timeline is structural — it forces the organization to commit to a learning response before the event recedes from institutional memory.

What this clarified for me was the difference between an internal safety review and a regulatory-mandated RCA. The personal piece was understanding that, when I am eventually involved in a sentinel event, my role is not to wait for the report — it is to participate substantively in the RCA so that the lessons live in clinical practice, not just in the corrective action document. I had been imagining sentinel events as something that happens to an institution; the class reframed them as something an institution learns from when its people show up to the analysis.

I will apply this by (1) asking my hospital preceptor whether I can review one redacted RCA report so I understand the structure and depth of the analysis; (2) attending one RCA meeting if the institution permits observers, even on an unrelated topic; and (3) when I encounter a near miss during my career, treating it as a sentinel event in microcosm — applying the same five-whys analytical approach rather than waiting for actual harm to trigger formal review.",2,2,2,6
29b,Today we discussed sentinel events and the formal RCA process required by The Joint Commission. Sentinel events are serious patient harm events and require a 45-day RCA with corrective action plans. Common sentinel events include wrong-site surgery and medication errors causing harm. I will pay attention to RCA processes during my rotations.,2,1,1,4
29c,Sentinel events are serious safety problems. There are reports about them.,1,0,0,1
30a,"Today's class covered workarounds and normalization of deviance as one of the most subtle and persistent threats to patient safety. I learned that a workaround is a routine bypass of a designed safety control — for example, scanning a printed copy of a wristband instead of the patient, or overriding an automated dispensing cabinet alert as a matter of habit. Diane Vaughan's term ""normalization of deviance"" describes the gradual social process by which a workaround becomes accepted: the workaround produces no harm in any single instance, the team becomes desensitized to it, and within months no one remembers the original safety rationale. We reviewed examples from healthcare and from the Challenger disaster, and discussed why workarounds are so hard to surface — they are usually invisible to leadership and embarrassing to frontline staff to discuss.

This was important to me because I had been thinking of safety culture as a matter of attitudes and intentions. The class reframed it as a matter of small accumulated habits, most of which form below the threshold of explicit team conversation. The personal piece was recognizing that I will be present at the formation of workarounds throughout my career — and that the most useful thing I can do is name them out loud the first time, before they normalize. That requires a kind of social courage I will need to practice before I can deploy it.

I will apply this by (1) on each rotation, keeping a private list of workarounds I observe and noting which ones a senior team member would have flagged at first sight; (2) practicing the language of naming a workaround respectfully in low-stakes moments (e.g., ""I noticed we're scanning the printed wristband — is that a workflow we want?""); and (3) when I am eventually a preceptor or supervisor, treating the first-week questions a new hire asks as a free audit of my unit's workarounds — the things they ask about are usually the things we have stopped seeing.",2,2,2,6
30b,"Today's session covered workarounds and normalization of deviance, where small deviations from policy become routine over time. Workarounds become invisible because they don't cause immediate harm. This matters because errors emerge from accumulated workarounds, not just from individual mistakes. I will pay attention to workarounds.",2,1,1,4
30c,People sometimes find ways around the rules. This can become a problem.,1,1,0,2
31a,"Today's class addressed three intersecting fatigue-related threats to patient safety: clinician fatigue from extended shifts and circadian disruption, alarm fatigue from over-frequent low-priority alarms, and decision fatigue from accumulated cognitive load over a shift. I learned that pharmacist error rates rise measurably after 8 hours of continuous verification work and that night-shift error rates are systematically higher than day-shift even after controlling for case mix. We reviewed the alarm-fatigue evidence — typical hospital monitor produces hundreds of alarms per patient per day, the great majority of which are non-actionable, with documented patient deaths from clinicians silencing alarms that turned out to be real. The instructor presented the engineering and policy responses: limiting consecutive shifts, mandatory rest periods, alarm-rationalization projects, and EHR changes that reduce low-value interruptions.

What this was important for was understanding that fatigue is not a personal weakness to be overcome with effort but a system property that the organization either designs around or doesn't. The personal piece was the data on pharmacist error rates after 8 hours — I had been treating my own fatigue as a willpower issue, and the class reframed it as a performance reality I should plan around (timing critical verifications earlier in shifts, taking actual breaks rather than skipping them).

I will apply this by (1) on rotations, observing how my own attention and accuracy trend across a shift and noting when I should escalate or defer; (2) asking my preceptor whether the institution has an alarm-rationalization project and what the data shows; and (3) when I am eventually responsible for staffing or scheduling, treating fatigue engineering as a primary job, not as a wellness initiative bolted on the side.",2,2,2,6
31b,"Today we covered fatigue and how it affects patient safety. Long shifts, night shifts, and alarm fatigue all increase error rates. The data shows that pharmacist accuracy decreases after 8 hours. This is something I will keep in mind during my rotations.",2,1,1,4
31c,Being tired makes errors more likely. Alarm fatigue is a real thing.,1,0,0,1
32a,"Today's class focused on health literacy as a patient safety issue. I learned that approximately 36% of U.S. adults have basic or below-basic health literacy and that medication errors cluster heavily in this population — patients who cannot reliably read prescription labels, who misinterpret ""take twice daily"" as ""take with two meals,"" or who lack the schema to understand what a side effect is. We reviewed the evidence-based safeguards: plain-language labeling (e.g., ""take 1 pill in the morning and 1 pill at night"" rather than ""take 1 BID""), pictogram-supported instructions, teach-back at every counseling encounter, and use of the institution's professional medical interpreters rather than family members for limited-English-proficiency patients. The class also covered the AHRQ Universal Precautions toolkit, which assumes every patient may have low literacy — because identifying low-literacy patients by appearance or behavior is unreliable.

What this was important for was reframing patient counseling as a primary safety control rather than a courtesy. I had been thinking of counseling as the closing step of a transaction. The class made clear that for many patients, the counseling encounter is the only safety net between the prescription and a harmful self-administration error. The Universal Precautions framing also addressed something I had been quietly uncomfortable with — the temptation to assess literacy by appearance, which is both inaccurate and ethically problematic.

I will apply this by (1) committing to use teach-back at every counseling encounter on my retail rotation, even when the patient seems fluent and informed; (2) using only professional interpreters when the patient is limited-English-proficient and pushing back if the workflow tries to use family; and (3) reviewing the institution's prescription label conventions and proposing plain-language improvements wherever I see jargon.",2,2,2,6
32b,"Today's class covered health literacy in patient safety. About 36% of US adults have low health literacy, which contributes to medication errors. Plain-language labels, teach-back, and professional interpreters help. AHRQ Universal Precautions assumes every patient may have low literacy.",2,2,0,4
32c,Some patients can't read well. This is a problem in pharmacy.,1,0,0,1
33a,"Today's session looked at post-discharge medication errors — events that happen after the patient leaves the hospital with their new medication regimen. I learned that the post-discharge period is one of the highest-risk periods in healthcare: patients are recovering, their medication list has often changed substantially during admission, the discharge counseling is frequently rushed, and the connection to the outpatient pharmacist is often absent. Published rates suggest 20-30% of patients experience a medication-related adverse event within 30 days of discharge, and a meaningful fraction lead to ED visits or readmission. We reviewed the interventions with the strongest evidence: meds-to-beds programs (filling discharge prescriptions before the patient leaves), post-discharge follow-up calls within 48-72 hours, and structured medication action plans given to the patient in writing.

What this was important for was recognizing that the discharge moment is not the end of inpatient care but the riskiest handoff in the entire hospitalization — and that pharmacy is the team that can most effectively close that gap. The personal piece was a clearer sense of what kind of pharmacy work I find most motivating; transitions-of-care work sits at the intersection of operational systems and direct patient care, and the data on its impact is strong.

I will apply this by (1) requesting a transitions-of-care rotation with a specific focus on post-discharge follow-up calls; (2) shadowing a meds-to-beds workflow at one institution to understand its operational details; and (3) keeping a personal log during my training of the specific medication-related issues that surface in post-discharge follow-up calls — that is the data I will use when I am eventually advocating for these services.",2,2,2,6
33b,Today we discussed how 20-30% of patients have medication-related problems after discharge from the hospital. Pharmacist programs like meds-to-beds and post-discharge follow-up calls help reduce these problems. I will pay attention to discharge transitions in my rotations.,1,1,1,3
33c,Patients have problems after discharge. Pharmacists can help.,1,0,0,1
34a,"Today's class introduced diagnostic error as one of the most under-recognized categories of patient safety harm — and one where pharmacy involvement is growing. I learned that the National Academy of Medicine's 2015 report Improving Diagnosis in Healthcare estimated that every adult will experience at least one meaningful diagnostic error in their lifetime, and that diagnostic errors contribute to about 10% of patient deaths. We discussed the cognitive contributors (anchoring, premature closure, availability bias) and the system contributors (test result follow-up gaps, EHR-mediated communication failures, fragmented care). The pharmacy angle was instructive: pharmacists frequently catch diagnostic errors at the point of dispensing — the reflexively prescribed antibiotic for a viral illness, the steroid without a clear indication, the duplicate therapy that suggests an unmade diagnosis. The instructor framed pharmacist intervention in suspected diagnostic errors as a developing area of practice rather than a settled one.

What this was important for was widening my understanding of patient safety beyond medication errors. I had been thinking of ""safety"" almost synonymously with ""medication safety."" The class reframed it as a broader field where pharmacists have particular leverage on diagnostic safety precisely because we see prescriptions across the entire care continuum. The personal piece was a heightened sense of professional latitude — when a prescription doesn't make clinical sense, asking the question is not stepping outside my role; it is fully within it.

I will apply this by (1) reading the National Academy of Medicine's Improving Diagnosis report executive summary before my advanced rotations; (2) practicing the specific language pharmacists use to raise diagnostic questions with prescribers respectfully (""I want to make sure I'm understanding the indication — is this for X or Y?""); and (3) flagging for my preceptor at least one prescription per week during a clinical rotation where I think the underlying diagnosis is uncertain, even if the prescription itself is valid.",2,2,2,6
34b,"Today we discussed diagnostic errors, which are when a diagnosis is missed or wrong. The National Academy of Medicine reported that most adults will experience a diagnostic error at some point. Pharmacists can sometimes catch these by noticing prescriptions that don't make sense. I will think about diagnoses, not just prescriptions.",2,1,0,3
34c,Sometimes doctors get the diagnosis wrong. This is a problem.,0,1,0,1
35a,"Today's class focused on implicit bias and equity as patient safety issues. I learned that patients of color, women, and patients with non-English primary language experience measurably higher rates of medication errors, delayed diagnoses, and inadequate pain management — and that these disparities persist after adjusting for clinical and socioeconomic factors, indicating bias as a contributor. We reviewed the evidence on implicit bias training (mixed — single sessions show small short-term effects), and on structural interventions that work better: standardized order sets that limit clinician discretion at decision points where bias operates, default opt-out interpreters, and explicit equity dashboards that show outcome disparities by demographic so they cannot be invisible. The class connected this material to the patient safety field's longstanding focus on system design — equity is a system property, not a question of individual goodwill.

What this was important for was recognizing that I cannot exempt myself from bias by being a well-intentioned person, and that the right response is structural rather than purely attitudinal. The personal piece was uncomfortable in productive ways — the data on disparities in pain management is severe, and as a future pharmacist I will be one of the checkpoints in that pathway. Recognizing that means I will need to deliberately use structural tools (standardized opioid pain assessment scripts, equity dashboards) rather than rely on my own judgment alone.

I will apply this by (1) reviewing the IHI Pursuing Equity initiative and the AHA's Health Equity Roadmap before my first rotation so I am fluent in the structural framing; (2) asking my hospital preceptor whether the institution stratifies any safety outcome data by demographic and, if not, naming that as a gap; and (3) committing to use teach-back and professional interpreter services with no exceptions on rotation, because those are the structural defaults that don't require my individual bias to be perfect.",2,2,2,6
35b,Today we discussed implicit bias and equity in patient safety. Patients from minority groups have higher rates of medication errors and worse outcomes even after controlling for other factors. Structural fixes like standardized order sets and equity dashboards work better than implicit bias training alone. I will pay attention to equity issues in my career.,2,1,1,4
35c,Bias is a problem in healthcare. It affects patients.,1,1,0,2
36a,"Today's session covered telehealth and remote prescribing safety as a patient safety frontier that grew rapidly during the COVID-19 pandemic and has not retreated. I learned that the safety profile of telehealth is mixed: for chronic disease management, telehealth shows comparable safety to in-person care; for acute conditions and for new patients, the absence of physical examination and unfamiliar prescribing context creates new failure modes — including controlled-substance e-prescribing without established prescriber-patient relationships, prescription cascades through platform-based DTC (direct-to-consumer) telehealth, and inadequate medication reconciliation. The class also covered the regulatory environment in flux: the Ryan Haight Act exception for telehealth controlled-substance prescribing has been repeatedly extended but not made permanent, and state boards are actively defining scope for remote pharmacy verification and compounding.

What this clarified for me was that telehealth is not a single thing — it ranges from established-relationship video visits with a primary care physician to single-encounter DTC platforms whose business model depends on prescription volume. The safety risks are concentrated at the platform-DTC end. The personal piece was a sharper sense that, as a community pharmacist, I will be the team member most able to identify problematic telehealth-DTC prescribing patterns at the point of dispensing — which is also a place where pharmacist refusal to dispense has real ethical and operational weight.

I will apply this by (1) reading the Federation of State Medical Boards telehealth guidance and my state board's pharmacy telehealth rules; (2) during my retail rotation, asking my preceptor about the site's policy for prescriptions originating from DTC telehealth platforms and what patterns trigger refusal; and (3) committing to escalate any telehealth prescription that doesn't fit the patient's clinical history, even if it is from a recognized platform — escalation is not the same as refusal, but it documents the concern.",2,2,2,6
36b,"Today's session covered telehealth and remote prescribing safety. Telehealth grew during COVID and has new safety risks, especially with DTC platforms that don't have established prescriber-patient relationships. Pharmacists are well-positioned to catch problematic prescriptions. I will pay attention to telehealth prescriptions in my retail work.",2,1,1,4
36c,Telehealth changed during COVID. There are safety issues with it.,1,0,0,1
