Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
24b,"In this week's class, I learned how safety strategies differ across specific high-alert medications based on the type of harm each one causes. For insulin, safeguards include standardized U-100 concentrations (with U-500 restricted and kept out of floor stock) and avoiding the abbreviation ""U."" For heparin, safeguards include standardized IV concentrations, weight-based dosing protocols, and anti-Xa or aPTT monitoring. For chemotherapy, safeguards include two-pharmacist independent verification, patient-specific BSA-based dose checks, and verification of cumulative lifetime doses for agents like anthracyclines. This matters for my growth because it teaches me that high-alert medication safety is not a single generic checklist — it is a set of drug-specific, failure-mode-specific defenses. Before this session, I thought of HAMs as a homogeneous category that required uniform extra care. Now I understand that the ""extra care"" is shaped by the pharmacology and the most likely error for that specific drug: hypoglycemia from insulin, bleeding from heparin, irreversible cardiotoxicity from anthracyclines. That insight pushes me to learn each HAM's mechanism and failure modes deeply rather than treating them as interchangeable. I will try to keep this in mind during my rotations and be extra careful when I see these medications.",2,2,1,5
24c,"Today's class was about high-alert medications like insulin, heparin, and chemotherapy. These medications can cause harm if something goes wrong. This is important because patient safety depends on being careful with these drugs. Pharmacists play a role in keeping patients safe from medication errors.",1,1,0,2
25a,"Today's session focused on the independent double-check (IDC) as a high-alert medication safeguard, and on the difference between an effective IDC and a performative one. I learned that an independent double-check requires two qualified individuals to independently verify the patient, drug, dose, concentration, route, rate, and infusion programming without one priming the other (e.g., not saying ""this is heparin 25,000 units, can you check?"" but rather presenting only the order and the prepared product so the second checker must arrive at the verification independently). We reviewed ISMP guidance that IDCs are most appropriate for narrow-therapeutic-index HAMs (insulin, opioid infusions, chemotherapy, neuromuscular blockers) and not as a universal control — overusing IDCs erodes their effectiveness because nurses begin to rubber-stamp checks they perform constantly.

This learning shifted how I think about pharmacy safety controls. I had previously considered ""more checks = safer"" without recognizing that a poorly designed double-check can give false reassurance and crowd out attention to other safeguards. The distinction between an independent check and a confirmation check was the most useful piece — it explained to me why some hospitals report that their IDC compliance rate is high but their HAM error rate has not improved.

I will apply this on my hospital rotation by (1) observing at least three independent double-check events with my preceptor and noting whether they meet ISMP's independence criteria or are confirmation checks in disguise; (2) asking the medication safety officer how the institution decides which medications trigger an IDC and how that list is reviewed; and (3) practicing the technique of presenting only the order and the product when I am the first checker, so that I am building the habit before I am responsible for the verification independently.",2,2,2,6
25b,Today we covered independent double-checks for high-alert medications. The idea is that two people independently verify the medication before it is given to the patient. We talked about how the check is most useful for medications like insulin and heparin and that doing it for everything makes it less effective. I think this is useful information. I will pay attention to how double-checks are done at my internship.,2,1,1,4
25c,Today's class was about double-checking medications. Two people check the medication. This helps prevent errors. I will keep this in mind.,1,0,1,2
26a,"This session covered smart infusion pump technology and dose error reduction systems (DERS) as engineering controls for high-alert medication safety. I learned that smart pumps house a customizable drug library — created and maintained by the pharmacy — that includes hard limits (which the pump will not let the user override) and soft limits (which alert but allow override with documented reason). The library is segmented by clinical care area (adult ICU, NICU, oncology) so that, for example, a heparin concentration that is acceptable in adult cardiac is hard-blocked in pediatric oncology. We also reviewed ISMP-recommended outcome measures: drug library compliance rate, rate of soft-limit overrides, and the proportion of ""saved"" programming errors caught by hard limits.

What surprised me was learning that the pump library is only as safe as its ongoing maintenance. Pharmacy teams must regularly review override data and near-miss reports to refine concentrations, rates, and limits — otherwise the library drifts out of date and clinicians override it routinely. This reframed smart pump deployment from a one-time technology purchase to an ongoing pharmacy stewardship activity. I had not appreciated how much of medication safety technology depends on the pharmacist's analytical work behind the scenes.

I will apply this by (1) asking my hospital preceptor whether I can review the most recent smart pump override report for one care unit and identify any high-frequency overrides that suggest a library update is needed; (2) shadowing the medication safety pharmacist if the institution has one to learn how library changes are vetted and rolled out; and (3) committing to look at infusion pump technology not as a black box but as a pharmacy-curated safety asset that I will eventually be responsible for maintaining.",2,2,2,6
26b,"Today we learned about smart infusion pumps and how they help prevent dose errors. Smart pumps have a drug library with limits that warn or block the user from programming wrong doses. This helps prevent harm to patients, especially with high-alert medications. I will pay attention to how smart pumps are used at my hospital rotation.",2,1,1,4
26c,Smart pumps help with medication safety. They have programs that prevent errors. This is good for patients.,1,0,0,1
27a,"This week's class focused on why pediatric patients are at disproportionately high risk for high-alert medication errors and the engineering, process, and communication safeguards specific to that population. I learned that nearly every dose in pediatrics is weight-based, that small math errors produce 10-fold or 100-fold dosing errors more often than in adults, and that concentration confusion (especially with morphine, fentanyl, and heparin) is a leading driver of pediatric HAM events. We also reviewed safeguards: standardized concentrations across the institution, pre-printed pediatric order sets that pre-calculate doses, mandatory weight verification in kg only (no lbs in the EHR), and dispensing in patient-specific rather than floor-stock form for the highest-risk products.

This learning changed my picture of pediatric pharmacy practice in a couple of ways. I had previously thought of pediatric dosing as primarily a calculation skill. After this class I understand it as a system-design problem in which the pharmacist's role is to remove opportunities for the calculation to be wrong — through standard concentrations, smart pump libraries with pediatric hard limits, and dispensing decisions that put the right dose in the right container. The personal piece for me was realizing that, in a pediatric rotation, my responsibility is not only to verify doses correctly but to advocate for upstream system fixes when I notice a recurring near-miss pattern.

I will apply this by (1) requesting a pediatric rotation week if my program permits, with the explicit goal of observing how pediatric HAM dispensing differs from adult; (2) asking my preceptor to walk me through one pediatric near-miss report and the system change (or non-change) it triggered; and (3) building a personal checklist for myself that I will use whenever I verify a pediatric HAM order — confirm weight in kg, confirm concentration matches institutional standard, confirm dose is within published pediatric range, and double-check the math against an independent reference.",2,2,2,6
27b,This week we learned that pediatric patients are at higher risk for medication errors because most doses are based on weight and small mistakes can become big ones. We talked about how pharmacies use standardized concentrations and pediatric-specific order sets to reduce these errors. This matters because children are vulnerable to medication harm. I will be careful with pediatric dosing during my rotations.,2,1,1,4
27c,We talked about how children need different doses than adults. Pediatric medications can be tricky. Pharmacists have to be careful.,1,1,0,2
28a,"This session covered anticoagulation management at transitions of care, which the ISMP and Joint Commission identify as one of the highest-risk periods for HAM-related patient harm. I learned that errors cluster at three transitions: (1) hospital admission, where home anticoagulant regimens are not reconciled and patients receive duplicate therapy; (2) intra-hospital transitions (e.g., ICU to floor) where bridging plans are dropped or doses are restarted incorrectly after procedures; and (3) discharge, where DOACs are converted back from heparin without clear instructions and patients leave without filled prescriptions or follow-up. We reviewed evidence-based safeguards: a pharmacist-led anticoagulation reconciliation at each transition, a structured discharge counseling encounter that includes teach-back, and post-discharge follow-up calls within 48–72 hours.

What struck me was the data on how often anticoagulant transitions go wrong even at high-performing institutions, and how often the pharmacist is the only team member who can catch the error. I had previously thought of ""medication reconciliation"" as a generic checkbox activity. This session reframed it as the highest-leverage anticoagulation safety intervention available, and as an explicit pharmacy responsibility that I should pursue rather than wait to be asked about.

I plan to apply this by (1) asking my preceptor on an inpatient rotation if I can lead the anticoagulation reconciliation for at least two patients per shift, with their oversight; (2) shadowing a discharge counseling encounter for a newly anticoagulated patient and using teach-back myself before the rotation ends; and (3) reviewing the institution's anticoagulation transition protocol and identifying one gap I can write up for my preceptor as a learning exercise.",2,2,2,6
28b,"Today we discussed how patients on anticoagulants can have errors when they move between care settings, like from the hospital to home. Pharmacists need to reconcile their medications carefully and counsel them at discharge so they know what to take. This is important because anticoagulants are high-alert and errors can lead to bleeding or clots. I will pay attention to anticoagulation reconciliation in my rotations.",2,1,1,4
28c,Anticoagulants are high-alert medications. They can cause harm. Pharmacists have to be careful when patients are switching settings.,1,0,0,1
29a,"Today's session focused on the opioid Patient-Controlled Analgesia (PCA) pump as one of the highest-risk routine HAM workflows in hospital pharmacy. I learned that PCA-related sentinel events typically cluster around three failure modes: programming errors at pump setup (concentration, bolus, lockout), ""PCA by proxy"" (a family member or even staff member presses the button on a sedated patient's behalf, defeating the safety logic of the patient-controlled design), and inadequate respiratory monitoring during the first 24 hours when opioid-naive patients are at highest risk for respiratory depression. The class reviewed the ISMP guidance: standardized PCA order sets that prevent free-text dosing, mandatory continuous capnography for all opioid-naive PCA patients, and explicit ""no PCA by proxy"" patient and family education.

This was important to me because opioid PCA had felt like a routine inpatient tool I would barely think about. The class made clear that the pump's safety hinges on a chain of small details — pharmacist verification of the concentration, nursing programming, monitoring escalation thresholds — any of which can fail silently. The PCA-by-proxy detail was the most striking; I had not realized that a well-meaning family member is one of the most common contributors to PCA harm events.

I will apply this by (1) reviewing the institution's PCA order set and policy on my first inpatient rotation and identifying any gaps relative to ISMP guidance; (2) sitting in on at least one PCA initiation with the primary nurse to observe the patient and family education in real time; and (3) when I verify a PCA order, deliberately checking opioid-naive status and confirming continuous capnography is ordered before signing off — this becomes a personal habit rather than an institutional rule.",2,2,2,6
29b,"Today we covered patient-controlled analgesia pumps and the risks of using them. We learned about programming errors, PCA by proxy, and respiratory monitoring. ISMP has guidance on standardized order sets and capnography. This is important because opioid PCA is high-risk. I will be careful when I verify PCA orders.",2,1,1,4
29c,PCA pumps are for pain. They can be dangerous. I will be careful.,1,0,1,2
30a,"This session covered neuromuscular blocking agents (NMBs) — the paralytic drugs used during intubation and mechanical ventilation — as one of the most lethal medication-error categories because the harm pathway is rapid and the antidote is not always available. I learned that the canonical NMB error is inadvertent administration to a patient who is not mechanically ventilated, which produces respiratory arrest within minutes. ISMP has documented multiple deaths from rocuronium or vecuronium being mistakenly substituted for routine medications (Versed and others) due to look-alike vials, automated dispensing cabinet override use, and confusion in storage location. The recommended safeguards are: store NMBs only in locations where they will be used (OR, ICU, ED), use red-bordered ""WARNING: PARALYZING AGENT"" auxiliary labels, and remove NMBs from automated cabinet override lists.

What this changed for me was a sense of which HAMs sit at the top of the harm severity scale. Insulin and heparin produce more total errors but allow time to intervene; an NMB error in an unventilated patient is functionally irreversible. That severity asymmetry justifies the very specific storage and labeling controls — they are about preventing the small number of events that you cannot recover from.

I will apply this by (1) on my first ICU or ED rotation, asking how NMBs are stored and confirming the auxiliary labels are present; (2) reviewing the automated dispensing cabinet override list at the institution and checking that NMBs are removed; and (3) committing to push back firmly if I am ever asked to dispense an NMB to a unit that does not routinely manage ventilated patients — that is a stop-the-line moment.",2,2,2,6
30b,Today's class covered neuromuscular blockers and the risk of giving them to a patient who is not on a ventilator. ISMP recommends specific storage and labeling for these drugs. This is important because errors with these drugs can cause death. I will pay attention to NMB storage during my rotations.,1,2,1,4
30c,NMBs are dangerous drugs. They can cause harm. I will remember this.,1,0,0,1
31a,"Today's session focused on concentrated electrolytes — particularly potassium chloride (KCl), hypertonic saline (3%, 23.4%), and concentrated magnesium sulfate — as a HAM category that ISMP has issued specific structural guidance on. I learned that the canonical error is administering concentrated KCl undiluted, which produces fatal cardiac arrhythmia within minutes. The Joint Commission's 1998 Sentinel Event Alert effectively removed concentrated KCl from most floor stock nationwide. We reviewed the current ISMP guidance: store concentrated electrolytes only in the pharmacy or specifically designated areas (ICU, OR), dispense only as patient-specific premixed bags with standardized concentrations, and require prescriber justification for any non-standard concentration.

What this was important for was recognizing that concentrated electrolyte policy is one of the clearest examples of system-level safety design actually working — sentinel events have decreased substantially since the 1998 alert. The personal piece was understanding that the policy depends on no single pharmacist deciding to override it 'just this once,' because the exception cases compound across the system. I had previously thought of floor stock decisions as logistical; the class reframed them as safety engineering.

I will apply this by (1) on my first inpatient rotation, asking where concentrated KCl and hypertonic saline are stored and confirming they are not in general floor stock; (2) reviewing the institution's premix concentration list and noting which non-standard requests triggered exception approvals in the past year; and (3) committing to never approve an undiluted concentrated electrolyte for ward administration without a documented exception process — even if the request comes from a senior physician.",2,2,2,6
31b,"We learned about concentrated electrolytes today, especially potassium chloride and hypertonic saline. These can cause death if given undiluted. Joint Commission and ISMP have rules about storing them only in the pharmacy or specific units. I will be careful with electrolyte storage.",2,1,1,4
31c,Concentrated potassium can be dangerous. It needs to be stored carefully.,1,1,0,2
32a,"This session focused on methotrexate dosing errors, specifically the frequency confusion between weekly low-dose methotrexate (used for rheumatoid arthritis, psoriasis, and ectopic pregnancy management) and the daily dosing common in oncology and trophoblastic disease protocols. I learned that the canonical error is a patient taking a weekly methotrexate dose every day — typically because the prescription was written without an explicit ""weekly"" indication, the pharmacy label said ""take as directed,"" or the patient misunderstood the schedule. The harm pathway is bone marrow suppression, mucositis, and death within days; ISMP has documented dozens of fatalities from this error pattern. Recommended safeguards include: requiring the day of the week and explicit ""weekly"" wording on the label, requiring indication on every methotrexate prescription, and using teach-back at every dispensing encounter.

This was important to me because methotrexate is widely dispensed in community pharmacy and the error is invisible at the dispensing window — the prescription itself often looks correct, and the failure happens days later in the patient's home. I had been thinking of HAM safety as primarily an inpatient concern; this session reframed methotrexate as the most consequential HAM I will encounter in retail practice. The personal piece was a heightened sense of how much patient counseling really matters for this drug — it is the only safety net once the bottle leaves the counter.

I will apply this by (1) committing, at every methotrexate dispensing on my retail rotation, to use teach-back rather than the standard ""any questions?"" close; (2) flagging any methotrexate prescription without an explicit weekly day to my preceptor for prescriber clarification; and (3) reviewing the institutional or chain auxiliary label policy for methotrexate and proposing improvements if the language is not explicit.",2,2,2,6
32b,"Today we discussed methotrexate dosing errors, where patients take a weekly dose daily. This causes serious harm and has caused deaths. Pharmacists should require the day of the week on the prescription and use teach-back. I will use teach-back for methotrexate counseling.",2,1,1,4
32c,Methotrexate is a high-alert drug. It can cause harm if taken wrong.,1,0,0,1
33a,"This session covered vasopressors and emergency medications — norepinephrine, epinephrine, vasopressin, dopamine — as HAMs whose errors typically occur under time pressure during code response or rapid clinical deterioration. I learned that the high-risk error patterns include concentration confusion (epinephrine 1:1,000 IM/SC vs 1:10,000 IV), rapid-bolus administration of drugs intended only for infusion, and dose-doubling when verbal orders are called during a code without standardized closed-loop communication. We reviewed the safeguards: standardized concentrations in the institution's code carts, removing the 1:1000 ratio expression in favor of mg/mL labeling, and TeamSTEPPS-style closed-loop confirmation during verbal orders.

This shifted how I think about emergency medications. I had imagined that code response is mostly muscle memory and protocol-driven — and it is — but that is precisely why subtle concentration or labeling differences cause harm. People follow the rehearsed pattern; if the labeling departs from the pattern, the wrong action gets executed at speed. The personal piece was appreciating how much the pharmacy team's choices about code-cart concentrations and labeling shape what happens in a code six hours later, even though no one in the code remembers it was a pharmacy decision.

I will apply this by (1) on my hospital rotation, requesting to inspect a code cart and confirm the vasopressor labeling matches ISMP's mg/mL guidance; (2) attending one mock code if my preceptor permits, specifically to observe how verbal medication orders are read back; and (3) when I encounter a non-standard concentration request from a code team during my career, escalating it as a system question rather than treating it as a one-off.",2,2,2,6
33b,"Today we discussed vasopressors and code medications, which are high-alert because they are used during emergencies. ISMP recommends standardized concentrations and clear labeling. Closed-loop communication during codes helps prevent verbal-order errors. I will be aware of this in my rotations.",2,1,1,4
33c,Vasopressors are emergency drugs. They are high-alert.,1,0,0,1
34a,"This session focused on oral chemotherapy administered at home — capecitabine, imatinib, lenalidomide, and similar agents — as a category that combines HAM risk with the absence of inpatient safeguards. I learned that oral chemo shifts the safety burden to the patient, the caregiver, and the dispensing pharmacist (often retail) who has neither the training nor the workflow that an inpatient oncology pharmacy provides. Common errors include patients missing doses or doubling up, mishandling of cytotoxic waste at home, dose modifications not communicated by the oncology clinic to the dispensing pharmacy, and drug interactions with patients' other home medications. ASCO and HOPA have published explicit oral chemotherapy safety standards, including pharmacist-led dispensing protocols, structured patient education, and proactive adherence monitoring.

What this was important for was recognizing that oral chemotherapy is an increasingly common dispensing scenario that most pharmacists are not explicitly trained for. The personal piece was realizing that retail pharmacists are now part of the oncology safety chain whether they recognize it or not, and that the right response is to upskill rather than to defer to the prescribing clinic.

I will apply this by (1) on my retail rotation, reviewing the chain or site's oral chemotherapy dispensing protocol if one exists, and asking what training is required; (2) completing the HOPA oral chemotherapy safety modules before I am responsible for these dispenses independently; and (3) for at least one oral chemo dispense, doing structured patient education with handout, teach-back, and a follow-up call within the first week.",2,2,2,6
34b,"Today's class covered oral chemotherapy at home, which is high-alert because patients self-administer without inpatient safeguards. Errors include missed doses and waste handling problems. ASCO and HOPA have safety standards. I will pay attention to oral chemo dispensing in my rotations.",1,1,1,3
34c,Oral chemo is for patients to take at home. It can be risky.,1,0,0,1
35a,"Today's session covered tall-man lettering and the broader naming-standards approach to LASA error reduction. I learned that tall-man lettering — writing parts of confusable drug names in capital letters (e.g., hydrOXYzine vs hydrALAZINE, vinBLAStine vs vinCRIStine) — is recommended by ISMP and FDA as one of the few proven label-level interventions for LASA errors. We reviewed the published lists (ISMP confused-name pairs, FDA's Name Differentiation Project), as well as the limitations: tall-man lettering works only when it appears consistently across the EHR, dispensing label, and stocking shelf, and only when prescribers also use it. We also covered broader naming safeguards including indication-required prescribing, look-alike storage separation, and the use of generic-only or brand-only labels in high-risk categories.

This learning gave me a clearer picture of why some institutions still experience LASA errors despite having tall-man lettering on dispensing labels — the labels alone are not enough if the EHR order screens, the shelf labels, and the prescriber's e-prescribing software don't carry the same convention. That points toward a system-level question rather than a labeling fix. The personal piece for me was appreciating that tall-man lettering is a tool whose effectiveness depends on consistency across an ecosystem that no single pharmacist controls.

I will apply this by (1) reviewing the ISMP and FDA tall-man lettering lists before my retail rotation so I can spot inconsistencies in real workflow; (2) checking, on my first hospital shift, whether tall-man lettering appears consistently in EHR, dispensing label, and shelf label and reporting any inconsistencies to my preceptor; and (3) committing to use tall-man lettering in any clinical note, handoff, or email I write professionally — the convention only works if everyone uses it.",2,2,2,6
35b,"Today we discussed tall-man lettering, which uses capital letters to differentiate confusable drug names. ISMP and FDA have lists of name pairs that should use tall-man lettering. The labeling only works if it is used consistently across systems. I will use tall-man lettering in my own writing.",2,1,1,4
35c,Tall-man lettering uses capitals to make drug names different. It helps prevent mix-ups.,1,0,0,1
36a,"This session focused on bedside Bar Code Medication Administration (BCMA) as the technological control most closely associated with reductions in wrong-drug and wrong-patient HAM errors. I learned that BCMA works by scanning the patient's wristband and the medication packaging at the bedside, with the EHR confirming match against the active medication order before administration. We reviewed published data showing 50%+ reductions in wrong-drug errors at hospitals that implement BCMA with high compliance — and equally important, the workarounds that reduce that benefit: scanning a printed copy of the wristband instead of the patient's actual wristband, scanning the medication before drawing it up, and the cultural pattern in which override is treated as routine. ISMP guidance is to make compliance visible, audit overrides, and design the workflow so that scanning is the fastest path rather than the slower one.

What this was important for was understanding the conditional nature of technology safety controls. BCMA works in environments where the workflow and culture support it; in environments where overrides are normalized, the data shows compliance numbers that look healthy but harm rates that don't improve. The personal piece for me was realizing that, when I am eventually involved in implementing or improving BCMA-related processes, the question isn't whether the technology is deployed but whether the workflow makes the right behavior easier than the workaround.

I will apply this by (1) shadowing one nursing shift on my hospital rotation to observe BCMA scanning in practice, with attention to overrides and workarounds; (2) asking the medication safety officer for the institution's most recent BCMA compliance report and override-pattern analysis; and (3) committing, when I see a BCMA workaround in real time, to debrief the moment with the nurse rather than report it from a distance — that is the way frontline behavior actually changes.",2,2,2,6
36b,"Today we covered Bar Code Medication Administration (BCMA), which scans the patient and the drug at the bedside before giving the medication. BCMA reduces wrong-drug errors but only when used correctly. Workarounds reduce its benefit. I will pay attention to BCMA workflows during my rotations.",2,2,1,5
36c,BCMA is barcode scanning at the bedside. It helps prevent errors.,1,0,0,1
