reflection_id,reflection_text,what_score,why_score,how_score,overall_score,topic
R011,"This week's class covered look-alike/sound-alike drug errors in depth, including the use of ISMP's LASA drug list, the role of pharmacy software in generating LASA warnings, and case studies of patient harm caused by LASA mix-ups. We specifically reviewed the case involving vinCRIStine given intrathecally instead of intravenously, resulting in patient death, and discussed what system failures allowed this to happen. LASA errors are an important topic for pharmacists to understand. Many of these errors have resulted in patient harm, and knowing about them is part of our professional responsibility. I will apply this knowledge by memorizing the most critical LASA pairs on the ISMP list and setting them as pop-up alerts on whatever pharmacy system I use during rotations. I also plan to speak with my preceptor about what verbal order protocols are in place at the site to prevent sound-alike confusion, and observe how these are handled in practice.",2,1,2,5,LASA Drugs
R012,"We discussed look-alike and sound-alike drugs in class today and reviewed some examples of errors that have occurred. We also talked about strategies for preventing these types of mistakes. This topic resonated with me because during a community pharmacy internship last summer, I nearly reached for amlodipine 10 mg instead of amiloride 5 mg during a busy Saturday shift. The labels were similar in color and font, and the drug names shared several letters. I caught the error before dispensing, but it made me realize how easily this could happen even to someone who was being careful. That experience, combined with what I learned in class about confirmation bias, changed how I think about my own cognitive vulnerabilities. I will be mindful of LASA pairs at my future sites and follow available protocols.",1,2,1,4,LASA Drugs
R013,"In today's session, we covered the topic of look-alike/sound-alike medications, including specific ISMP-identified pairs and the strategies used to prevent errors — such as tall man lettering, physical separation, and electronic alerts. We also reviewed examples of mix-ups between oral medications with similar-looking tablets and between IV medications with similar vial sizes. I am still developing my understanding of why this topic matters specifically to me as a future pharmacist, but I recognize that these errors are documented and cause harm. I will try to pay attention to LASA medications at my internship.",2,0,1,3,LASA Drugs
R014,"We went over some medication mix-up topics in class. Understanding LASA errors is something I feel strongly about because I once witnessed my father receive the wrong medication at a retail pharmacy — a drug that sounded similar to his actual prescription. He noticed only because the pill color was different. If that visual cue had not been there, he would have taken the wrong drug for weeks. That experience made me want to become a pharmacist who actively works to prevent these errors. I plan to specifically ask my preceptor at my upcoming rotation about the LASA protocols at their site. I will also review the ISMP LASA list monthly and flag any pairs I encounter in practice.",0,2,2,4,LASA Drugs
R015,"In today's class, we talked about look-alike and sound-alike medications and some of the errors that can result. There were some interesting examples shared. This topic is important because pharmacists have a responsibility to keep patients safe, and LASA errors can cause real harm. I should keep this in mind as I continue my training.",1,1,0,2,LASA Drugs
R016,We had class today about medications and how they can get mixed up. I will pay more attention to drug names when I am at my internship and make sure to slow down.,0,0,1,1,LASA Drugs
R017,"Today we covered medication reconciliation — the process of comparing a patient's current medication list against new orders at transitions of care such as admission, transfer between units, and discharge. We reviewed the Joint Commission requirements for reconciliation and the types of errors it is designed to prevent: omissions, duplications, dosing discrepancies, and drug interactions introduced during transitions. We worked through a case of a patient admitted for a hip fracture whose metoprolol was omitted during hospital admission, leading to a hypertensive crisis postoperatively. This topic directly shifted my understanding of where medication errors originate. I previously assumed that most errors happened in the dispensing step, but this session showed me that the handoff between care settings is an extremely vulnerable point. Patients often manage multiple medications from multiple prescribers, and the list they carry can be inconsistent, outdated, or incomplete. As a pharmacist, I am well-positioned to catch these discrepancies because I have access to dispensing history, patient profiles, and prescribing records — a perspective that nurses and physicians may not have. During my hospital rotation, I will ask to participate in the medication reconciliation process at admission and discharge for at least one patient per shift. I will practice building a complete best possible medication history by interviewing the patient, consulting dispensing records, and contacting the patient's home pharmacy.",2,2,2,6,Medication Reconciliation
R018,"In class today, we learned about the medication reconciliation process, including its three main steps: verification (obtaining a complete list), clarification (checking that orders are appropriate), and reconciliation (resolving discrepancies). We reviewed tools like the BPMH (best possible medication history) and discussed common pitfalls such as patients not knowing their medication names or doses. We also watched a video simulation of a pharmacist conducting a reconciliation interview at hospital admission. Medication reconciliation is clearly an important patient safety process, and pharmacists are well-suited to lead it given their medication expertise. I understand this is a high-error zone in healthcare. When I start my inpatient rotation, I will use the standardized reconciliation form at the site and practice completing a BPMH by interviewing at least three patients during the first week. I will track any discrepancies I find and review them with my preceptor to understand how they are handled.",2,1,2,5,Medication Reconciliation
R019,"We discussed medication reconciliation in class today, including how errors can happen during transitions of care. We reviewed some case examples and tools used in the process. I appreciate the depth of this topic now after hearing a patient story in class. A patient who was admitted to the hospital for cardiac surgery was not asked about their supplement use during reconciliation, and their fish oil combined with the anticoagulant they were started on post-op contributed to a significant bleed. I had not thought about how over-the-counter products and supplements would be part of my reconciliation responsibility, and this case challenged me to think more comprehensively about what a complete medication list actually means. I will always include OTC drugs, vitamins, and supplements in any medication list I collect from patients. During my upcoming rotation, I will ask to observe a pharmacist-led reconciliation interview and take notes on how open-ended questions are used to elicit a complete history.",1,2,2,5,Medication Reconciliation
R020,"Today's class gave a thorough overview of medication reconciliation, focusing on the transitions of care model — what happens to a patient's medications at admission, throughout hospitalization, and at discharge. We reviewed Joint Commission standards, specific error types (omissions, dose discrepancies, therapeutic duplications), and the role of the clinical pharmacist versus pharmacy technician in the reconciliation workflow. We also discussed evidence showing that pharmacist-led reconciliation significantly reduces discrepancy rates. This topic matters because medication reconciliation is one of the most evidence-backed interventions for preventing adverse drug events at transitions of care. I now understand that the hospital-to-home transition in particular is extremely high-risk — patients often go home with a confusing bag of medication bottles, instructions from multiple providers, and no clear guidance on what changed during their stay. The pharmacist is often the last and best line of defense before the patient walks out the door. I am not yet sure exactly how I will apply this in practice, but I know it is something I need to take seriously.",2,2,0,4,Medication Reconciliation
R021,"We covered medication reconciliation today and discussed how pharmacists play an important role in verifying medication lists when patients are admitted or discharged from the hospital. We saw some examples of errors that resulted from incomplete reconciliation. Medication reconciliation is an important process because patients often have complex medication regimens, and errors during transitions of care can cause harm. Pharmacists are in a good position to help catch these errors. I will try to apply what I learned when I have the opportunity during my rotations.",1,1,1,3,Medication Reconciliation
R022,"Today's class introduced a new topic related to medication management. I honestly found the material a bit dense and I am still working to understand all the components. However, I felt strongly connected to the topic because my grandfather was recently hospitalized and discharged with a medication list that nobody explained to him or my family. He ended up taking both his old and new blood pressure medications at the same time for three days because he did not know to stop the old one. This situation showed me how real and preventable these problems are. I want to learn how to do medication reconciliation well and will ask my preceptor to let me practice this skill during my hospital rotation.",0,2,1,3,Medication Reconciliation
R023,We talked about medication reconciliation and its role in pharmacy practice. There were some case examples discussed in class. I plan to pay more attention to this at my internship when I have the chance.,1,0,0,1,Medication Reconciliation
R024,Class today covered a medication safety topic. I will look for opportunities to practice what we discussed at my internship site and ask questions if I am unsure.,0,0,1,1,Medication Reconciliation
R025,"In class today, we did an in-depth review of pharmacokinetic and pharmacodynamic drug-drug interactions, focusing on the CYP450 enzyme system. We specifically examined CYP3A4 inhibitors and inducers — like clarithromycin, fluconazole, rifampin, and St. John's Wort — and their effects on drugs like cyclosporine, warfarin, and simvastatin. We also covered QTc-prolonging drug combinations and the additive risk of combining agents such as azithromycin, haloperidol, and methadone in a single patient. One case study examined a transplant patient who started taking a grapefruit supplement and experienced calcineurin inhibitor toxicity. This session fundamentally changed how I approach medication review. I previously viewed drug interactions as rare edge cases to look up when triggered by an alert. Now I understand they are a predictable result of how drugs are metabolized and that knowing the underlying mechanisms allows me to anticipate interactions before they occur — without relying solely on software. This is especially relevant for complex patients on many medications, where alerts may fire so frequently that clinicians experience alert fatigue. I will apply this learning by selecting two to three CYP450 interactions per week to study in depth during my rotations, using real patient cases. I will also make it a habit to review QTc risk with my preceptor whenever a patient is on more than one QTc-prolonging agent.",2,2,2,6,Drug-Drug Interactions
R026,"Today we covered the pharmacology of drug-drug interactions, with a focus on CYP450-mediated metabolism and transporter-based interactions (P-glycoprotein). We reviewed the clinical significance of interactions using the Lexicomp and Micromedex rating systems and discussed how to triage which interactions require immediate action versus monitoring. We worked through cases involving warfarin combined with antibiotics and NSAIDs, and the interaction between statins and fibrates causing myopathy. This topic is particularly relevant to me because I already work as a pharmacy technician in a busy retail pharmacy, and I frequently see patients on multiple medications who are never counseled about interactions. I have observed pharmacists dismiss interaction alerts rapidly under time pressure, and now I understand how dangerous that can be — especially for drugs with narrow therapeutic indices. I want to be the kind of pharmacist who can quickly assess the clinical significance of an interaction rather than reflexively overriding alerts. I will aim to improve my interaction counseling skills during my rotations.",2,2,1,5,Drug-Drug Interactions
R027,"This session focused on drug-drug interactions, covering both pharmacokinetic interactions (absorption, distribution, metabolism, excretion) and pharmacodynamic interactions (synergistic, additive, antagonistic effects). We reviewed the serotonin syndrome triad — cognitive changes, autonomic dysfunction, and neuromuscular abnormality — and which drug combinations most commonly precipitate it, including SSRIs with tramadol or triptans. We also discussed the clinical management of interactions, including dose adjustments, timing separations, and therapeutic substitutions. Drug interactions are important, and pharmacists need to be aware of them. I plan to use the interaction screening tools available at my site systematically during medication reviews and document any significant interactions I identify. I will also specifically look for patterns related to serotonin syndrome risk in patients on psychiatric medications combined with other drugs.",2,1,2,5,Drug-Drug Interactions
R028,"We reviewed different types of drug-drug interactions in today's class, including some of the most clinically significant ones that pharmacists encounter. There were many examples, and I am still working to organize them in my mind. This topic hits close to home because my mother was briefly hospitalized after a drug interaction between her antibiotic and blood thinner was not caught at the pharmacy. The pharmacist later told us it was a known interaction, which made the incident feel preventable. That experience is part of why I chose pharmacy, and it motivates me to be rigorous about interaction screening. I will make sure to review all interaction alerts carefully at my site rather than dismissing them, and will ask my preceptor to help me develop a triage framework.",1,2,1,4,Drug-Drug Interactions
R029,"In today's class, we covered CYP450 drug interactions with a focus on the most clinically relevant inhibitors and inducers. We reviewed specific drug pairs — fluconazole with cyclosporine, rifampin with oral contraceptives, and warfarin with amiodarone — and how these interactions are identified, classified, and managed. We used Lexicomp to assess interaction severity and worked through clinical recommendations for each case. I do not yet feel a strong personal connection to this topic beyond understanding it is part of pharmacist competency. I will review interaction databases at my internship when relevant.",2,0,1,3,Drug-Drug Interactions
R030,"We discussed drug interactions in class, including types of pharmacokinetic and pharmacodynamic interactions and why they matter for patient safety. We went through several examples of harmful interactions that have occurred in clinical practice. Drug interactions are a key part of pharmacy practice and I need to understand them to protect patients. I will use the resources available at my internship site to screen for interactions and ask for guidance when I am unsure.",1,1,1,3,Drug-Drug Interactions
R031,Today we talked about interactions between medications. It seems like there are many combinations that can be dangerous. I know this is something pharmacists check for and I will pay attention to it.,0,1,0,1,Drug-Drug Interactions
R032,Class today covered some drug topics. I will work on learning more about the medications I encounter and use the tools available to me to check for any problems.,0,0,1,1,Drug-Drug Interactions
R033,"Today's class focused on anticoagulation safety, a topic I had studied pharmacologically before but not from a patient safety perspective. We reviewed the specific risks associated with the four main anticoagulant classes — heparin (unfractionated and LMWH), warfarin, and direct oral anticoagulants (DOACs) — and why they appear consistently on ISMP's high-alert medication list. We discussed the importance of INR monitoring, dose adjustment strategies, bridging therapy protocols, and reversal agents (vitamin K, 4-factor PCC, idarucizumab, andexanet alfa). We also reviewed cases of patients who received therapeutic heparin boluses without dose-weight adjustment, resulting in serious bleeds. This session expanded my understanding of anticoagulation from a clinical pharmacology topic to a systems safety topic. I realized that errors with anticoagulants are often the result of multiple system vulnerabilities converging — unclear weight-based dosing protocols, absent double-check requirements, and inadequate monitoring frequencies. I was also struck by how the introduction of DOACs, which were marketed as safer and requiring less monitoring, has actually introduced new safety concerns because patients and providers may underestimate their risks. At my upcoming internal medicine rotation, I will ask to be assigned to at least one anticoagulation patient each week so I can practice dose management, INR interpretation, and patient counseling about signs of bleeding and when to seek care.",2,2,2,6,Anticoagulation Safety
R034,"In class, we covered the full spectrum of anticoagulation safety, including the pharmacokinetics of heparin, LMWH, warfarin, and DOACs; monitoring parameters; and the management of supratherapeutic anticoagulation. We reviewed case reports of patients who were started on warfarin without a concurrent bridging protocol and developed thromboembolic events while awaiting therapeutic INR levels. We also analyzed errors involving anti-Xa level interpretation for heparin dosing. Anticoagulation management is a core pharmacist competency, and the safety issues are genuinely complex. This class helped me see that errors in anticoagulation are rarely simple — they involve interactions between dosing algorithms, monitoring schedules, communication among the care team, and patient adherence. As someone interested in hospital pharmacy, I need to be expert-level in this area. I will develop a personal anticoagulation reference sheet and ask to observe the anticoagulation pharmacist at my rotation site.",2,2,1,5,Anticoagulation Safety
R035,"We reviewed anticoagulation safety in class today, including common errors and the safeguards used to prevent them. There were several case studies shared. My grandmother is currently on warfarin for atrial fibrillation, and hearing about the number of serious bleeds caused by poorly managed anticoagulation was alarming. I have seen her INR fluctuate significantly based on what she eats and what supplements she takes, and this class made me realize how vulnerable patients on warfarin are if they do not have consistent pharmacist support. I will make it a point during my rotations to practice INR counseling and patient education about dietary interactions with warfarin. I also want to understand DOAC protocols well enough to counsel patients on the importance of adherence even when they feel well.",1,2,2,5,Anticoagulation Safety
R036,"Today's class covered anticoagulation safety from a comprehensive standpoint, reviewing each drug class, monitoring requirements, and the case for and against different anticoagulation strategies. We also discussed the evidence behind pharmacist-led anticoagulation clinics and their impact on reducing adverse events and hospitalizations for patients on warfarin. The session reinforced my understanding of the risks involved and the pharmacist's key role in monitoring. I plan to focus on anticoagulation education at my rotation and ask to be involved in patient monitoring activities.",2,1,1,4,Anticoagulation Safety
R037,"Today's session covered anticoagulants as high-alert medications in depth, including specific dosing protocols for UFH, LMWH, and warfarin, reversal strategies, and monitoring parameters like aPTT, anti-Xa levels, and INR. We reviewed examples of heparin protocol deviations that resulted in serious patient harm. I am still connecting this topic to my personal professional motivations, but I understand its importance. I will focus on anticoagulation cases during my upcoming clinical rotation.",2,0,1,3,Anticoagulation Safety
R038,"We learned about anticoagulant medications and the safety risks associated with them. These include drugs like warfarin and heparin, which are commonly used in hospital settings. Anticoagulants are high-alert medications with serious risks, and pharmacists have an important role in monitoring patients who take them. I will try to be diligent when working with these drugs in practice.",1,1,1,3,Anticoagulation Safety
R039,Today we talked about some types of blood thinners and their safety considerations. Anticoagulants are important medications that require careful monitoring. I will remember to be careful with these drugs.,0,1,0,1,Anticoagulation Safety
R040,We covered anticoagulation in class today. I learned about some important medications and their risks.,0,0,0,0,Anticoagulation Safety
R041,"This week's session focused on pediatric dosing safety, covering weight-based and age-based dosing calculations, the risks of 10-fold dosing errors, and the importance of always questioning doses that fall outside expected ranges. We reviewed the Broselow tape as a quick reference tool and discussed why pediatric patients cannot simply receive scaled-down adult doses. We also analyzed a sentinel event where an infant received a morphine dose appropriate for a 70 kg adult, resulting in respiratory arrest. I came into this class thinking I was fairly confident in my dosing calculation skills, but the examples showed me how easy it is to make a 10-fold error with a misplaced decimal point — and how fatal the consequences can be in a pediatric patient with limited physiological reserve. I had not considered how much the absence of commercially available pediatric formulations drives compounding errors, or how weight-based dosing can be anchored to an incorrect weight if the patient was weighed in the wrong unit or position. This class genuinely changed my vigilance level. At my pediatric rotation, I will double-check every dose I prepare or verify by (1) confirming the weight used for calculation and the units, (2) calculating the mg/kg dose independently, (3) comparing it against the expected range in a reference like Lexi-Pediatrics, and (4) asking a second pharmacist to verify before dispensing.",2,2,2,6,Pediatric Dosing
R042,"Today we covered pediatric pharmacokinetics and the principles behind weight-based and body-surface-area-based dosing. We reviewed common dosing errors in pediatrics, including decimal point errors, unit confusions (mg vs. mcg), and the use of incorrect weight references. We discussed why children metabolize and respond to drugs differently at different developmental stages, and why extrapolating adult data to pediatrics is dangerous. Understanding pediatric dosing safety is especially important to me because I shadowed in a pediatric emergency department last summer and observed how rapidly small patients can deteriorate if given incorrect doses. I saw a child given acetaminophen based on weight in pounds when the formula required weight in kilograms, resulting in a dose that was more than double the correct amount. The error was caught before harm, but the experience was unsettling. I am still thinking about what specific changes I will make to my practice, but I know I need to be more structured about verifying weights and units.",2,2,0,4,Pediatric Dosing
R043,"We discussed pediatric dosing in class today, reviewing calculation methods, common errors, and safety strategies. The instructor mentioned several real-world cases involving decimal errors. I feel particularly motivated to understand pediatric dosing because I want to work in a children's hospital setting after graduation. The cases shared today made me realize that pediatric pharmacy requires an extraordinarily high level of attention to detail — not just because children are physiologically different, but because the consequences of even a small dosing error are proportionally much more severe due to smaller body mass and immature organ function. During my pediatric rotation, I will ask my preceptor to walk me through the site's pediatric dosing protocols and error-prevention procedures. I will also practice performing two independent dose calculations for each pediatric order I encounter before verifying it.",1,2,2,5,Pediatric Dosing
R044,"In today's class, we reviewed pediatric dosing principles including weight-based calculations, developmental pharmacokinetics, and the importance of oral formulation availability. We looked at real-world cases where lack of pediatric-specific formulations led to compounding errors or adult dosage form manipulation. This is an important topic for pharmacists working with pediatric patients. Errors in this population can be especially serious due to physiological differences. I will keep this in mind for future practice.",2,1,0,3,Pediatric Dosing
R045,"We covered pediatric dosing safety today, including common error types and how to prevent them. We talked about weight-based dosing, unit errors, and formulation challenges. Pediatric patients are a vulnerable population, and pharmacists have a responsibility to ensure accurate dosing. I will be careful and thorough when verifying pediatric orders during my training.",1,1,1,3,Pediatric Dosing
R046,Today's class was about dosing in children. It seems like this is an area where errors can happen easily. Pediatric pharmacy requires careful attention to detail and I will keep this in mind.,0,1,0,1,Pediatric Dosing
R047,We talked about pediatric medications today. I will practice my dosing calculations and review any pediatric orders carefully when I am at my rotation site.,0,0,1,1,Pediatric Dosing
R048,"This class covered controlled substance management, including DEA scheduling, the regulatory requirements for prescribing and dispensing, and pharmacy-specific responsibilities around inventory, record-keeping, and disposal. We reviewed the prescription drug monitoring program (PDMP) and how it serves as both a clinical and regulatory tool to identify patients at risk for opioid misuse and diversion. We also discussed common diversion scenarios in pharmacy settings and the internal controls designed to detect them, including perpetual inventory systems, DEA Form 222, and the CURES database in California. This session deepened my understanding of the pharmacist's dual role as clinician and compliance officer in controlled substance management. I had previously thought of PDMP checks as a regulatory formality, but after reviewing cases where pharmacists had legal exposure for filling prescriptions for patients with obvious doctor-shopping patterns, I now understand that the PDMP is a genuinely important clinical tool. I was also struck by how workplace diversion — often by trusted colleagues — is more common than we assume and that pharmacists have a responsibility to create and maintain internal safeguards. At my community pharmacy internship, I will ask my preceptor to show me how PDMP checks are performed at the site, including what criteria are used to determine when a prescription raises concerns. I will also request access to observe at least one inventory count procedure and ask about how discrepancies are investigated.",2,2,2,6,Controlled Substances
R049,"Today we went through the DEA scheduling system, controlled substance dispensing requirements, the pharmacy's role in identifying prescription fraud and diversion, and state-level prescription drug monitoring programs. We worked through case studies of pharmacists who failed to exercise corresponding responsibility when filling clearly suspicious prescriptions and the legal consequences that followed. We also reviewed disposal options for controlled substances and the DEA take-back program. Controlled substances are clearly important to manage properly. Pharmacists have legal responsibility for appropriate dispensing, and I understand I will need to apply this consistently in practice. When I rotate through a community pharmacy, I will practice conducting PDMP checks for every Schedule II prescription I process and document my reasoning. I will also ask my preceptor about how the site has handled a suspicious prescription in the past so I understand the workflow.",2,1,2,5,Controlled Substances
R050,"Class today covered controlled substance regulations and the pharmacist's responsibilities, including dispensing requirements, PDMP use, and inventory controls. We saw some case examples of diversion and fraudulent prescribing. I feel strongly about this topic because I had a distressing experience at a prior internship where I noticed a technician seemed to be removing medications without documentation. I was unsure what to do and ultimately said nothing, which I still regret. This class gave me the vocabulary and regulatory framework to understand what diversion looks like, what the pharmacy's responsibility is, and what reporting mechanisms exist. I now know that staying silent would make me complicit. I will speak up if I observe something suspicious at my future sites and make sure to know the reporting procedures before my next rotation starts.",1,2,1,4,Controlled Substances
R051,"In class today, we reviewed the DEA scheduling framework, the requirements for dispensing Schedule II-V substances, documentation requirements, and the role of the PDMP in preventing misuse. We discussed what constitutes a legitimate medical purpose and how pharmacists exercise professional judgment when filling controlled substance prescriptions. Controlled substances are high-risk medications with significant abuse potential, and pharmacists have an important gatekeeping role. I will keep these responsibilities in mind as I continue my training.",2,1,0,3,Controlled Substances
R052,"We discussed controlled substances in class today, including DEA schedules, dispensing rules, and the role of the PDMP. We also talked about diversion and what pharmacists should do if they suspect it is occurring. Controlled substance management is a critical part of pharmacy practice with both patient safety and legal dimensions. I will try to follow all regulations carefully and use the PDMP as part of my dispensing workflow.",1,1,1,3,Controlled Substances
R053,Today we went over some rules and regulations around controlled drugs. This is clearly an important area for pharmacists to know well since it involves both patient care and the law. I will ask my preceptor about the processes used at my site.,0,1,1,2,Controlled Substances
R054,Class today was about controlled substances and their scheduling. There is a lot to know about this topic and I will continue learning.,0,0,0,0,Controlled Substances
R055,"Today's class covered pharmaceutical compounding safety, with particular emphasis on USP 795 (non-sterile) and USP 797 (sterile) standards and the regulatory context created by the Drug Quality and Security Act following the 2012 New England Compounding Center meningitis outbreak that killed 64 patients. We reviewed the key principles of compounding safety: beyond-use dating, environmental monitoring requirements, personnel training and competency, equipment calibration, and quality control testing. We also discussed how compounding pharmacies are regulated differently from manufacturers and the ongoing debate about oversight gaps. The 2012 outbreak shocked me in a way that reading about it in isolation would not have. Learning about the specific failures — contaminated sterile compounding, inadequate testing, regulatory oversight gaps — and seeing the scale of harm that resulted made the subject of compounding standards feel urgent and personal. I now understand that USP standards are not just regulatory checkboxes but the minimum safeguards standing between a patient and a potentially fatal contamination. The fact that these standards are still being phased in and resisted in some settings was disturbing. During any compounding rotation, I will actively practice USP 797 technique including garbing, aseptic manipulation, and environmental monitoring procedures. I will also read the current status of USP 800 for hazardous drug handling and ask my preceptor how the site is prepared for compliance.",2,2,2,6,Compounding Safety
R056,"In class today we covered the regulatory and safety framework for pharmaceutical compounding, including the historical context of the DQSA, the distinction between 503A and 503B compounders, and the specific requirements for sterile compounding under USP 797. We reviewed the contamination failure modes — microbial, particulate, and pyrogen — and the environmental controls (ISO classification, pressure differentials, HEPA filtration) designed to prevent them. Compounding safety is especially relevant to me because I plan to pursue a career in hospital pharmacy, where sterile compounding is performed daily. The history of outbreaks and patient deaths from contaminated compounded products makes clear that lapses in aseptic technique are not just quality problems — they are patient safety crises. I need to be technically excellent at sterile compounding before I am ever responsible for a patient. I will practice aseptic technique during any lab sessions available and review USP 797 in full before my sterile compounding rotation.",2,2,1,5,Compounding Safety
