reflection_id,reflection_text,claude_what,claude_why,claude_how,llama_what,llama_why,llama_how,evidence_what,evidence_why,evidence_how
7a,"This week's session focused on the clinical decision-making involved in selecting therapeutic alternatives when a drug is on shortage. I learned that not all substitutions are pharmacologically equivalent — the same therapeutic class can differ in onset, half-life, monitoring requirements, and renal/hepatic adjustments. We worked through a piperacillin-tazobactam shortage case where the substitution options (cefepime + metronidazole vs. meropenem) carried different antimicrobial stewardship implications, different rates of C. difficile risk, and different cost profiles. The discussion emphasized that an evidence-based substitution requires considering the indication, the patient's allergies and organ function, the site's antibiogram, and stewardship goals — not just ""another drug in the same bucket.""

This shifted my thinking because I had implicitly assumed that therapeutic substitution during a shortage was largely a procurement decision. In reality, every substitution is a clinical decision that the pharmacist owns. Going through the case made me appreciate why hospital P&T committees pre-authorize specific substitution pathways during shortages — so that high-stakes choices are not made in real time at the dispensing window without input from infectious disease or stewardship pharmacists.

I will apply this at my internship by (1) asking to review the inpatient pharmacy's pre-approved substitution pathways for the three most commonly shortage-affected drug classes at the site; (2) sitting in on a P&T committee meeting if a shortage agenda item comes up to observe how the substitution policy is debated; and (3) drafting a one-page comparison table for one current shortage drug at my site, including indication, stewardship considerations, and monitoring differences, that I can have my preceptor critique.",2,2,2,2,2,2,"We worked through a piperacillin-tazobactam shortage case where the substitution options (cefepime + metronidazole vs. meropenem) carried different antimicrobial stewardship implications, different rates of C. difficile risk, and different cost profiles. The discussion emphasized that an evidence-based substitution requires considering the indication, the patient's allergies and organ function, the site's antibiogram, and stewardship goals — not just 'another drug in the same bucket.'","This shifted my thinking because I had implicitly assumed that therapeutic substitution during a shortage was largely a procurement decision. In reality, every substitution is a clinical decision that the pharmacist owns. Going through the case made me appreciate why hospital P&T committees pre-authorize specific substitution pathways during shortages — so that high-stakes choices are not made in real time at the dispensing window without input from infectious disease or stewardship pharmacists.","I will apply this at my internship by (1) asking to review the inpatient pharmacy's pre-approved substitution pathways for the three most commonly shortage-affected drug classes at the site; (2) sitting in on a P&T committee meeting if a shortage agenda item comes up to observe how the substitution policy is debated; and (3) drafting a one-page comparison table for one current shortage drug at my site, including indication, stewardship considerations, and monitoring differences, that I can have my preceptor critique."
7b,"We discussed how to choose therapeutic alternatives when a medication is on shortage. The key idea is that not every substitute works the same way — drugs in the same class can have different doses, monitoring needs, and side effects. We went over an antibiotic example and how the choice of substitute affects stewardship. This is important because picking the wrong substitute can harm the patient. I will try to be careful about substitutions when I work in pharmacy.",2,1,1,2,1,1,"drugs in the same class can have different doses, monitoring needs, and side effects. We went over an antibiotic example and how the choice of substitute affects stewardship.",This is important because picking the wrong substitute can harm the patient.,I will try to be careful about substitutions when I work in pharmacy.
8a,"This session addressed something I had not previously considered as part of pharmacy practice: the ethics of allocating a drug that is in critical shortage. We reviewed real cases — pediatric oncology agents, IV fluids during the 2017 Hurricane Maria shortage, and tocilizumab during COVID-19 — and the frameworks hospitals have used to decide who receives the limited supply. The core principles we discussed were transparency (allocation criteria are documented and disclosable), consistency (the same criteria apply to every patient), and clinical justification (allocation is based on indication and expected benefit rather than ability to pay or first-come-first-served). We also discussed the role of an ethics committee and why allocation decisions should not rest solely with the pharmacist on shift.

This learning mattered to me because I realized I had been thinking of shortages as a logistics problem with a clinical wrapper. In reality, when supply truly cannot meet demand, the pharmacist becomes part of an explicit moral choice about which patient is treated. The session also clarified that allocation fairness is not the same as allocation neutrality — ""first come first served"" feels neutral but systematically disadvantages patients with less healthcare access. That distinction was uncomfortable but important.

I plan to apply this by (1) asking my hospital preceptor whether the institution has a written drug allocation policy and, if so, requesting permission to read it; (2) attending or shadowing one ethics committee meeting during my rotation, even if shortage allocation is not the topic, to understand how the committee deliberates; and (3) when I encounter my first true allocation decision, deliberately escalating to my preceptor or the institution's policy rather than deciding alone, even if I think I know the right answer.",2,2,2,2,2,2,"We reviewed real cases — pediatric oncology agents, IV fluids during the 2017 Hurricane Maria shortage, and tocilizumab during COVID-19 — and the frameworks hospitals have used to decide who receives the limited supply. The core principles we discussed were transparency (allocation criteria are documented and disclosable), consistency (the same criteria apply to every patient), and clinical justification (allocation is based on indication and expected benefit rather than ability to pay or first-come-first-served).","I realized I had been thinking of shortages as a logistics problem with a clinical wrapper. In reality, when supply truly cannot meet demand, the pharmacist becomes part of an explicit moral choice about which patient is treated. The session also clarified that allocation fairness is not the same as allocation neutrality — 'first come first served' feels neutral but systematically disadvantages patients with less healthcare access. That distinction was uncomfortable but important.","(1) asking my hospital preceptor whether the institution has a written drug allocation policy and, if so, requesting permission to read it; (2) attending or shadowing one ethics committee meeting during my rotation, even if shortage allocation is not the topic, to understand how the committee deliberates; and (3) when I encounter my first true allocation decision, deliberately escalating to my preceptor or the institution's policy rather than deciding alone, even if I think I know the right answer."
8b,"We learned about the ethical issues that come up when there is not enough of a drug for everyone who needs it. We talked about how hospitals decide who gets the medication using fair, written rules rather than first-come-first-served. Allocation decisions should be transparent and based on clinical need. I think this is important and I want to be aware of these principles in my career.",2,1,1,2,1,1,"how hospitals decide who gets the medication using fair, written rules rather than first-come-first-served. Allocation decisions should be transparent and based on clinical need.",I think this is important and I want to be aware of these principles in my career.,I want to be aware of these principles in my career.
9a,"Today's session focused on what hospital and 503A pharmacies can do when a commercial product is unavailable: compound the same drug from raw active pharmaceutical ingredient (API) under USP <797> and <800> standards. I learned the regulatory boundary clearly — 503A pharmacies may compound a drug that is in shortage even if it is essentially a copy of a commercial product, but only while the drug is on the FDA shortage list, and only with a patient-specific prescription. We walked through the operational requirements: sourcing API from an FDA-registered facility, verifying certificates of analysis for identity and potency, assigning beyond-use dates based on USP category and stability data, and documenting the compounding record so it can withstand a board inspection.

What this clarified for me was the limits of pharmacy compounding as a shortage response. I had vaguely thought of compounding as a broad workaround for any out-of-stock drug. The class made clear that the regulatory framework is narrower and more conditional than I assumed, and that compounding from API carries patient-safety risks that commercial manufacturing doesn't — variability in potency, sterility failures, and lack of long-term stability data. Realizing this gave me a more honest view of when compounding solves a shortage and when it just shifts the risk.

I will apply this by (1) asking my hospital preceptor to walk me through one compounded shortage workaround the institution has used in the past year and the documentation chain that supported it; (2) reviewing one product's certificate of analysis with my preceptor so I understand what to look for before working with API independently; and (3) building a personal mental checklist — FDA shortage status, prescription specificity, BUD assignment, stability — that I run through whenever I am asked to compound from API.",2,2,2,2,2,2,"503A pharmacies may compound a drug that is in shortage even if it is essentially a copy of a commercial product, but only while the drug is on the FDA shortage list, and only with a patient-specific prescription. We walked through the operational requirements: sourcing API from an FDA-registered facility, verifying certificates of analysis for identity and potency, assigning beyond-use dates based on USP category and stability data, and documenting the compounding record so it can withstand a board inspection.","I had vaguely thought of compounding as a broad workaround for any out-of-stock drug. The class made clear that the regulatory framework is narrower and more conditional than I assumed, and that compounding from API carries patient-safety risks that commercial manufacturing doesn't — variability in potency, sterility failures, and lack of long-term stability data. Realizing this gave me a more honest view of when compounding solves a shortage and when it just shifts the risk.","(1) asking my hospital preceptor to walk me through one compounded shortage workaround the institution has used in the past year and the documentation chain that supported it; (2) reviewing one product's certificate of analysis with my preceptor so I understand what to look for before working with API independently; and (3) building a personal mental checklist — FDA shortage status, prescription specificity, BUD assignment, stability — that I run through whenever I am asked to compound from API."
9b,Today we discussed how pharmacies can compound drugs from raw ingredients when the commercial product is on shortage. There are FDA rules about when this is allowed and pharmacies have to follow USP standards for compounding. This is important because compounding extends supply but also adds patient-safety risks. I will pay attention to compounding workflows during my hospital rotation.,2,1,1,2,1,1,pharmacies can compound drugs from raw ingredients when the commercial product is on shortage. There are FDA rules about when this is allowed and pharmacies have to follow USP standards for compounding.,This is important because compounding extends supply but also adds patient-safety risks.,I will pay attention to compounding workflows during my hospital rotation.
9c,Pharmacies can sometimes make drugs themselves during a shortage. There are rules about it. I think this is interesting.,1,0,0,1,0,0,Pharmacies can sometimes make drugs themselves during a shortage. There are rules about it.,I think this is interesting.,I think this is interesting.
10a,"This session focused specifically on shortages of large-volume parenteral products — saline, dextrose, lactated Ringer's — and what makes this category uniquely difficult to manage. I learned that the U.S. has only a small number of sterile injectable manufacturers (Baxter, B. Braun, ICU Medical) and that a single facility outage (e.g., the 2017 Hurricane Maria impact on Baxter's Puerto Rico plants) can produce a national IV fluid shortage that lasts months. Hospitals respond with conservation strategies: switching from 100 mL minibags to IV push for compatible drugs, using oral hydration when clinically appropriate, and rotating allocations across units. We also discussed why sterile injectable manufacturing is so concentrated — the capital cost of a compliant fill-finish line is high and margins are thin, so few entrants are viable.

What this clarified for me is how invisible the IV fluid supply is until it fails. I had treated saline as essentially free and infinite. The session reframed it as the most concentrated single-point-of-failure in modern hospital pharmacy. The personal piece was realizing that an IV push protocol for what used to be a minibag drug is a real clinical change with real risks (extravasation, dosing errors, nursing workflow), and that the pharmacist is the team member most likely to identify those risks early.

I will apply this by (1) asking my hospital preceptor whether the institution has a written conservation protocol for IV fluids and reviewing it before any shortage hits; (2) shadowing one nursing shift on a unit using IV push for a former minibag drug to observe how the workflow change actually plays out at the bedside; and (3) keeping a personal note of which institutional shortage responses I see work and which create new risks, so I am building practical knowledge for when I am responsible for proposing them.",2,2,2,2,2,2,"I learned that the U.S. has only a small number of sterile injectable manufacturers (Baxter, B. Braun, ICU Medical) and that a single facility outage (e.g., the 2017 Hurricane Maria impact on Baxter's Puerto Rico plants) can produce a national IV fluid shortage that lasts months. Hospitals respond with conservation strategies: switching from 100 mL minibags to IV push for compatible drugs, using oral hydration when clinically appropriate, and rotating allocations across units.","I had treated saline as essentially free and infinite. The session reframed it as the most concentrated single-point-of-failure in modern hospital pharmacy. The personal piece was realizing that an IV push protocol for what used to be a minibag drug is a real clinical change with real risks (extravasation, dosing errors, nursing workflow), and that the pharmacist is the team member most likely to identify those risks early.",(1) asking my hospital preceptor whether the institution has a written conservation protocol for IV fluids and reviewing it before any shortage hits; (2) shadowing one nursing shift on a unit using IV push for a former minibag drug to observe how the workflow change actually plays out at the bedside; and (3) keeping a personal note of which institutional shortage responses I see work and which create new risks
10b,Today we covered shortages of IV fluids like saline. The supply is concentrated among a few manufacturers and a single facility problem can cause national shortages. Hospitals respond with conservation strategies like IV push instead of minibags. This is important because IV fluids are basic infrastructure for hospitals.,2,1,0,2,1,0,shortages of IV fluids like saline. The supply is concentrated among a few manufacturers and a single facility problem can cause national shortages. Hospitals respond with conservation strategies like IV push instead of minibags.,This is important because IV fluids are basic infrastructure for hospitals.,Hospitals respond with conservation strategies like IV push instead of minibags.
10c,There can be shortages of saline. This is a problem for hospitals.,1,0,0,1,0,0,There can be shortages of saline. This is a problem for hospitals.,This is a problem for hospitals.,There can be shortages of saline. This is a problem for hospitals.
